period,Year,Month,Day,Hour,AP,C6,CO,NO,NO2,NOX,O3,PM10,PM25,RF,RH,RT,SO2,SR,TOL,WD,WS,XYL
01-01-2016 00:00,2016,1,1,0,953.25,0.46,1.51,20.11,68.99,89.1,10.87,112.21,75.25,0,58.18,17.72,40.58,0.11,3.23,16.39,0.41,2.35
01-01-2016 01:00,2016,1,1,1,952.98,0.27,1.22,20.5,68.79,89.29,11.08,119.91,101.77,0,61.08,16.91,40.46,0.02,2.18,16.33,0.53,1.53
01-01-2016 02:00,2016,1,1,2,952.69,0.14,1.05,20.89,66.25,87.13,11.29,103.12,83.33,0,62.52,16.43,38.97,0.01,1.65,16.3,0.45,1.08
01-01-2016 03:00,2016,1,1,3,952.45,0.17,0.98,21.09,66.43,87.51,11.4,92.37,61.98,0,64.72,15.66,39.07,0,1.3,16.25,0.29,0.76
01-01-2016 04:00,2016,1,1,4,952.43,0.12,0.93,21.21,67.4,88.61,11.47,86.86,69.2,0,68.06,14.93,39.65,0,1.15,16.23,0.28,0.6
01-01-2016 05:00,2016,1,1,5,952.97,0.13,0.94,21.19,66.69,87.88,11.46,71.09,51.43,0,70.1,14.59,39.23,0,1.19,16.21,0.28,0.57
01-01-2016 06:00,2016,1,1,6,953.74,0.13,1.04,21.31,66.04,87.36,11.52,71.31,54.81,0,71.38,14.29,38.85,0.01,1.05,16.26,0.28,0.47
01-01-2016 07:00,2016,1,1,7,954.74,0.29,1.4,21.75,66.53,88.28,11.76,86.91,64.5,0,71.77,14.51,39.14,11.13,1.25,16.29,0.29,0.54
01-01-2016 08:00,2016,1,1,8,955.61,0.62,1.82,21.51,67.06,88.57,11.63,130.58,103.4,0,66.94,17.18,39.44,103,1.92,16.43,0.3,0.82
01-01-2016 09:00,2016,1,1,9,956.14,0.49,2.49,21.85,66.81,88.66,11.81,177.1,145.7,0,45.23,24.01,39.3,214.5,2.59,16.86,0.39,1.19
01-01-2016 10:00,2016,1,1,10,955.79,0.87,2.19,21.54,66.66,88.2,11.65,236.35,196.2,0,28.84,27.22,39.21,338.84,3.41,17.03,0.75,1.68
01-01-2016 11:00,2016,1,1,11,955.13,0.64,1.98,21.53,66.45,87.98,11.64,203.93,146.2,0,24.11,31.06,39.09,416.12,3.17,17.57,0.73,1.61
01-01-2016 12:00,2016,1,1,12,954.19,0.45,1.96,22.29,64.98,87.27,12.05,187.55,133.45,0,20.03,33.6,38.22,443.98,2.73,17.39,0.89,1.28
01-01-2016 13:00,2016,1,1,13,953,0.31,1.38,21.76,65.93,87.69,11.76,154.53,108.35,0,15.75,34.78,38.78,437.11,2.83,17.57,1.26,1.39
01-01-2016 14:00,2016,1,1,14,952.03,0.22,1.21,21.42,66.35,87.77,11.58,95.82,61.45,0,10.01,36.17,39.03,396.91,2.33,17.64,1.15,1.2
01-01-2016 15:00,2016,1,1,15,951.69,0.13,1.14,22.05,68.52,90.57,11.92,62.64,40.4,0,8.81,36.75,40.31,306.01,1.91,17.71,0.83,0.94
01-01-2016 16:00,2016,1,1,16,951.58,0.14,0.97,21.92,67.89,89.81,11.85,47.23,13.35,0,10.9,35.04,39.93,185.88,1.7,17.56,0.44,0.85
01-01-2016 17:00,2016,1,1,17,951.89,0.17,3.43,21.4,70.67,92.07,11.57,48.31,33.65,0,20.81,30.47,41.57,43.75,2.01,17.18,0.48,0.87
