,Year,Month,Day,Hour,C6,CO,NO,NO2,NOX,O3,PM10,PM25,RF,RH,RT,SO2,SR,TOL,WD,WS,XYL,period
0,2016,12,1,0,0.16,3.74,31.82,50.93,82.76,27.63,104.04,60.44,0,63.74,17.59,14.64,0.0,1.65,34.09,0.41,1.04,2016-12-01 00:00:00
1,2016,12,1,1,0.13,3.47,37.84,61.0,98.84,34.17,90.82,53.22,0,64.96,17.2,18.1,0.0,1.33,33.89,0.62,0.65,2016-12-01 01:00:00
2,2016,12,1,2,0.11,3.23,41.98,67.93,109.91,38.67,82.22,41.33,0,65.89,16.57,20.49,0.0,1.74,33.93,0.31,0.42,2016-12-01 02:00:00
3,2016,12,1,3,0.11,2.97,35.32,56.79,92.11,31.44,78.46,38.9,0,68.89,15.79,16.67,0.0,0.86,33.93,0.28,0.33,2016-12-01 03:00:00
4,2016,12,1,4,0.1,2.74,36.48,58.74,95.23,32.7,72.06,36.41,0,71.04,15.26,17.34,0.0,0.73,33.82,0.4,0.29,2016-12-01 04:00:00
5,2016,12,1,5,0.07,2.63,35.43,56.97,92.4,31.55,71,43.18,0,71.58,15.09,16.73,0.0,0.64,33.99,0.31,0.25,2016-12-01 05:00:00
6,2016,12,1,6,0.09,2.61,28.86,45.98,74.85,24.42,68.45,39.02,0,72.8,14.74,12.95,0.2,0.77,33.91,0.38,0.33,2016-12-01 06:00:00
7,2016,12,1,7,0.13,2.57,20.7,32.31,53.01,15.54,79.02,46.48,0,74.27,14.77,8.24,16.29,0.81,34.15,0.28,0.34,2016-12-01 07:00:00
8,2016,12,1,8,0.42,2.48,21.02,32.86,53.88,15.9,131.02,80.21,0,70.0,17.76,8.41,85.13,1.51,34.2,0.28,0.58,2016-12-01 08:00:00
9,2016,12,1,9,0.66,2.43,30.89,49.38,80.27,26.62,201.11,137.15,0,50.86,23.42,14.12,182.67,2.2,34.71,0.29,0.9,2016-12-01 09:00:00
