,Year,Month,Day,Hour,C6,CO,NO,NO2,NOX,O3,PM10,PM25,RF,RH,RT,SO2,SR,TOL,WD,WS,XYL,period
0,2016,4,1,0,0.64,2.39,24.75,36.34,61.09,13.38,70.74,36,0,30.4,25.33,21.38,0.01,4.83,16.74,0.28,2.31,2016-04-01 00:00:00
1,2016,4,1,1,0.27,2.36,22.89,39.1,62.0,12.37,63.77,38.58,0,32.14,25.31,23.0,0.0,3.02,16.73,0.34,1.8,2016-04-01 01:00:00
2,2016,4,1,2,0.16,2.37,23.3,38.84,62.14,12.6,55.19,29.56,0,32.54,24.62,22.85,0.0,1.76,16.7,0.41,0.72,2016-04-01 02:00:00
3,2016,4,1,3,0.09,2.36,22.67,38.39,61.06,12.26,39.52,33.15,0,34.12,23.71,22.58,0.0,0.92,16.63,0.31,0.34,2016-04-01 03:00:00
4,2016,4,1,4,0.07,2.36,22.01,38.55,60.56,11.9,33.59,22.84,0,35.5,23.26,22.68,0.0,0.79,16.6,0.29,0.23,2016-04-01 04:00:00
5,2016,4,1,5,0.08,2.35,21.34,38.58,59.92,11.54,34.7,28.73,0,37.89,22.22,22.7,0.0,0.93,16.54,0.36,0.22,2016-04-01 05:00:00
6,2016,4,1,6,0.07,2.36,19.58,37.52,57.1,10.58,35,28.28,0,40.57,21.44,22.07,2.67,0.73,16.52,0.37,0.16,2016-04-01 06:00:00
7,2016,4,1,7,0.14,2.41,20.42,37.3,57.72,11.04,41.81,39.16,0,38.1,22.72,21.94,60.07,0.67,16.66,0.35,0.17,2016-04-01 07:00:00
8,2016,4,1,8,0.28,2.41,20.33,36.69,57.02,10.99,73.67,87.35,0,29.46,28.08,21.59,224.72,1.2,17.04,0.34,0.37,2016-04-01 08:00:00
9,2016,4,1,9,0.3,2.4,21.56,35.85,57.41,11.66,74.74,86.42,0,16.56,34.44,21.09,379.37,1.46,17.48,0.28,0.51,2016-04-01 09:00:00
10,2016,4,1,10,0.3,2.46,22.5,36.46,58.95,12.16,87.63,85,0,6.23,37.46,21.45,520.93,2.4,17.63,0.58,0.87,2016-04-01 10:00:00
11,2016,4,1,11,0.36,2.51,23.71,34.52,58.23,12.82,77.22,69.55,0,4.04,39.07,20.31,625.26,2.72,17.86,0.81,1.08,2016-04-01 11:00:00
12,2016,4,1,12,0.21,2.55,24.36,37.8,62.16,13.17,62.22,41.25,0,2.81,41.44,22.24,673.21,1.92,17.94,1.03,0.59,2016-04-01 12:00:00
13,2016,4,1,13,0.23,2.53,24.22,38.16,62.38,13.09,78.74,43.87,0,3.0,42.33,22.44,665.88,2.37,17.84,1.24,0.78,2016-04-01 13:00:00
14,2016,4,1,14,0.22,2.55,25.34,39.48,64.82,13.7,70.93,45,0,2.93,43.01,23.22,594.09,2.47,18.21,0.97,0.84,2016-04-01 14:00:00
15,2016,4,1,15,0.12,2.55,23.84,39.59,63.43,12.89,63.89,34.7,0,3.5,43.06,23.29,485.09,1.7,17.87,1.39,0.55,2016-04-01 15:00:00
16,2016,4,1,16,0.07,2.55,23.08,40.1,63.18,12.47,77.48,35.58,0,7.53,40.81,23.59,323.06,1.36,18.23,1.65,0.47,2016-04-01 16:00:00
17,2016,4,1,17,0.08,2.49,22.41,40.28,62.68,12.11,85.11,53.17,0,10.48,38.58,23.69,161.75,1.45,17.74,1.62,0.46,2016-04-01 17:00:00
18,2016,4,1,18,0.13,2.47,23.01,39.84,62.85,12.44,83.44,48.27,0,17.98,35.2,23.44,33.55,1.74,17.32,1.52,0.67,2016-04-01 18:00:00
19,2016,4,1,19,0.22,2.45,21.13,39.02,60.15,11.42,88.96,71.03,0,22.77,32.87,22.95,0.44,2.1,17.33,1.53,0.92,2016-04-01 19:00:00
20,2016,4,1,20,0.24,2.44,20.46,38.6,59.06,11.06,67.85,69.85,0,26.93,31.2,22.7,0.0,2.25,17.07,0.4,1.0,2016-04-01 20:00:00
21,2016,4,1,21,0.47,2.46,23.72,37.94,61.67,12.82,78.48,75.87,0,36.23,29.81,22.32,0.0,2.92,17.12,0.4,1.33,2016-04-01 21:00:00
22,2016,4,1,22,0.57,2.49,23.77,34.97,58.75,12.85,88.67,73.57,0,39.93,28.83,20.57,0.0,3.47,16.98,0.3,1.68,2016-04-01 22:00:00
23,2016,4,1,23,0.47,2.47,22.47,36.52,58.98,12.14,90,80.73,0,45.38,27.24,21.48,0.0,3.13,16.91,0.31,1.5,2016-04-01 23:00:00
24,2016,4,2,0,0.5,2.53,24.18,35.67,59.86,13.07,100.22,85.41,0,52.09,26.06,20.98,0.0,2.71,16.82,0.28,1.21,2016-04-02 00:00:00
25,2016,4,2,1,0.54,2.56,25.37,35.49,60.86,13.71,97.74,80.85,0,56.0,25.04,20.88,0.0,3.03,16.74,0.28,1.25,2016-04-02 01:00:00
26,2016,4,2,2,0.44,2.53,23.96,37.68,61.64,12.95,121.7,78.28,0,55.11,25.11,22.16,0.06,2.67,16.68,0.66,1.15,2016-04-02 02:00:00
27,2016,4,2,3,0.2,2.51,22.59,39.54,62.14,12.21,103.85,68.56,0,56.66,23.93,23.26,0.04,1.45,16.67,0.28,0.51,2016-04-02 03:00:00
28,2016,4,2,4,0.26,2.5,21.67,39.5,61.17,11.72,92.33,53.27,0,57.57,23.58,23.24,0.08,1.04,16.64,0.28,0.27,2016-04-02 04:00:00
29,2016,4,2,5,0.24,2.51,20.56,38.69,59.25,11.11,91,61.3,0,57.54,23.11,22.76,0.05,1.26,16.56,0.35,0.31,2016-04-02 05:00:00
30,2016,4,2,6,0.29,2.5,16.68,37.71,54.39,9.02,66.3,63.86,0,55.89,22.94,22.19,2.91,1.99,16.66,0.66,0.57,2016-04-02 06:00:00
31,2016,4,2,7,0.26,2.46,17.96,38.72,56.68,9.71,69.67,77.75,0,53.42,23.66,22.78,63.46,1.55,16.71,0.62,0.5,2016-04-02 07:00:00
32,2016,4,2,8,0.33,2.49,15.77,36.19,51.96,8.52,84.63,101.46,0,41.7,28.82,21.29,218.92,1.28,17.11,0.3,0.41,2016-04-02 08:00:00
33,2016,4,2,9,0.37,2.54,17.5,36.53,54.03,9.46,104.04,114.44,0,28.22,34.87,21.49,385.86,1.81,17.52,0.28,0.67,2016-04-02 09:00:00
34,2016,4,2,10,0.35,2.57,18.55,36.63,55.19,10.03,92.52,98.83,0,15.71,38.4,21.55,525.45,2.23,17.54,0.82,0.81,2016-04-02 10:00:00
35,2016,4,2,11,0.45,2.61,19.41,36.76,56.16,10.49,97.67,79.69,0,13.26,40.45,21.62,617.17,3.41,17.79,0.62,1.48,2016-04-02 11:00:00
36,2016,4,2,12,0.37,2.68,20.84,36.69,57.53,11.27,109.21,70.13,0,9.04,42.23,21.58,659.76,2.86,18.01,0.84,1.04,2016-04-02 12:00:00
37,2016,4,2,13,0.32,2.7,19.28,35.96,55.24,10.42,112.7,66.42,0,5.9,43.32,21.15,662.67,2.9,18.2,0.99,1.09,2016-04-02 13:00:00
38,2016,4,2,14,0.25,2.73,19.25,37.85,57.1,10.41,113.85,59.13,0,4.11,43.4,22.26,596.23,2.72,18.31,1.42,1.12,2016-04-02 14:00:00
39,2016,4,2,15,0.24,2.76,19.7,37.54,57.24,10.65,89.3,53.71,0,3.25,44.03,22.08,468.79,2.5,18.08,1.18,1.04,2016-04-02 15:00:00
40,2016,4,2,16,0.09,2.75,21.38,37.45,58.83,11.56,79.04,46.13,0,15.32,41.17,22.03,289.93,1.63,18.2,1.94,0.63,2016-04-02 16:00:00
41,2016,4,2,17,0.13,2.74,25.39,39.09,64.48,13.73,176.81,82.77,0,25.12,37.36,22.99,136.1,1.65,17.64,2.27,0.59,2016-04-02 17:00:00
42,2016,4,2,18,0.14,2.74,22.82,37.47,60.28,12.34,129.26,68.4,0,28.59,34.69,22.04,29.78,1.5,17.47,1.67,0.52,2016-04-02 18:00:00
43,2016,4,2,19,0.19,2.72,20.51,36.78,57.3,11.09,100.11,63.28,0,38.91,32.28,21.64,0.43,1.86,17.2,1.58,0.75,2016-04-02 19:00:00
44,2016,4,2,20,0.22,2.64,19.14,38.58,57.71,10.34,89.33,75.88,0,45.77,30.68,22.69,0.01,1.7,17.06,1.53,0.72,2016-04-02 20:00:00
45,2016,4,2,21,0.16,2.64,30.29,37.91,68.2,16.37,71.81,82.29,0,49.08,29.47,22.3,0.01,1.6,17.07,0.86,0.68,2016-04-02 21:00:00
46,2016,4,2,22,0.17,2.64,66.52,36.62,103.14,35.96,62.19,89.87,0,53.35,28.55,21.54,0.0,1.43,17.11,1.16,0.59,2016-04-02 22:00:00
47,2016,4,2,23,0.14,2.67,34.05,35.53,69.57,18.4,57.59,79.84,0,57.58,27.64,20.89,0.0,1.19,17.02,1.0,0.44,2016-04-02 23:00:00
48,2016,4,3,0,0.13,2.73,24.57,33.56,58.14,13.28,53.59,70.33,0,63.07,26.26,19.74,0.0,1.33,16.92,0.62,0.42,2016-04-03 00:00:00
49,2016,4,3,1,0.08,2.7,23.81,34.87,58.68,12.87,61.53,55.25,0,62.97,25.74,20.51,0.0,0.75,16.96,0.49,0.2,2016-04-03 01:00:00
50,2016,4,3,2,0.07,2.67,23.17,37.4,60.56,12.52,46.81,59.87,0,58.34,25.89,22.0,0.0,0.58,16.87,0.68,0.12,2016-04-03 02:00:00
51,2016,4,3,3,0.04,2.67,23.49,39.77,63.26,12.7,42.3,50.7,0,59.91,25.37,23.39,0.01,0.86,16.93,1.1,0.18,2016-04-03 03:00:00
52,2016,4,3,4,0.08,2.66,22.05,39.21,61.26,11.92,44.56,64.45,0,61.56,24.8,23.07,0.0,1.01,16.72,1.15,0.24,2016-04-03 04:00:00
53,2016,4,3,5,0.07,2.59,21.16,40.61,61.77,11.44,60.33,66.14,0,59.89,24.3,23.89,0.0,1.09,16.73,1.21,0.31,2016-04-03 05:00:00
54,2016,4,3,6,0.08,2.6,21.86,35.55,57.41,11.82,42.56,66.86,0,56.72,24.15,20.91,4.69,1.03,16.72,1.03,0.28,2016-04-03 06:00:00
55,2016,4,3,7,0.13,2.65,22.11,35.65,57.76,11.95,53.48,73.01,0,57.58,24.31,20.97,62.94,0.73,16.8,0.4,0.17,2016-04-03 07:00:00
56,2016,4,3,8,0.19,2.61,18.33,36.5,54.83,9.91,58.56,79.15,0,45.34,29.02,21.48,211.06,0.9,17.14,0.34,0.21,2016-04-03 08:00:00
57,2016,4,3,9,0.25,2.56,19.83,36.16,56.0,10.72,83.7,94.59,0,26.73,34.54,21.27,341.91,1.09,17.49,0.28,0.28,2016-04-03 09:00:00
58,2016,4,3,10,0.17,2.55,20.46,35.52,55.98,11.06,105.89,91.85,0,11.6,37.74,20.89,523.29,1.12,17.87,0.67,0.27,2016-04-03 10:00:00
59,2016,4,3,11,0.07,2.54,21.81,35.18,56.99,11.79,82.59,53.23,0,10.06,39.68,20.69,567.84,0.76,17.8,0.74,0.19,2016-04-03 11:00:00
60,2016,4,3,12,0.16,2.49,21.87,36.04,57.91,11.82,100.15,56.44,0,9.27,41.55,21.2,637.79,1.54,17.8,0.86,0.41,2016-04-03 12:00:00
