,Year,Month,Day,Hour,C6,CO,NO,NO2,NOX,O3,PM10,PM25,RF,RH,RT,SO2,SR,TOL,WD,WS,XYL,period
0,2016,5,1,0,0.07,2.64,68.4,41.97,110.36,36.97,84,35.49,0,32.71,27.47,24.69,0.02,1.33,16.81,1.06,0.48,2016-05-01 00:00:00
1,2016,5,1,1,0.06,2.62,68.46,42.91,111.37,37.01,74.63,27.2,0,34.37,26.78,25.24,0.01,1.17,16.98,1.02,0.34,2016-05-01 01:00:00
2,2016,5,1,2,0.05,2.6,64.48,41.53,106.01,34.86,62.78,25.15,0,35.15,26.07,24.43,0.0,1.08,16.79,0.65,0.34,2016-05-01 02:00:00
3,2016,5,1,3,0.05,2.6,62.64,43.43,106.07,33.86,56.74,27.55,0,37.72,25.04,25.55,0.01,0.9,16.75,0.38,0.26,2016-05-01 03:00:00
4,2016,5,1,4,0.03,2.6,60.85,43.2,104.05,32.89,55.15,24.6,0,40.34,23.87,25.41,0.01,0.56,16.67,0.28,0.14,2016-05-01 04:00:00
5,2016,5,1,5,0.03,2.6,55.71,42.54,98.24,30.11,55,27.4,0,42.27,23.19,25.02,0.01,0.54,16.64,0.29,0.14,2016-05-01 05:00:00
6,2016,5,1,6,0.04,2.57,50.72,42.97,93.69,27.42,56.7,23.75,0,44.26,23.48,25.28,11.71,0.6,16.65,0.31,0.14,2016-05-01 06:00:00
7,2016,5,1,7,0.09,2.55,29.19,42.37,71.56,15.78,73.18,45.1,0,41.48,25.26,24.93,110.55,0.75,16.8,0.3,0.17,2016-05-01 07:00:00
8,2016,5,1,8,0.19,2.55,22.81,41.65,64.46,12.33,95.59,69.4,0,31.67,30.61,24.5,277.76,1.19,17.21,0.78,0.33,2016-05-01 08:00:00
9,2016,5,1,9,0.18,2.55,24.58,41.12,65.7,13.29,116.03,77.25,0,17.27,34.37,24.19,443.85,1.17,17.55,1.14,0.33,2016-05-01 09:00:00
10,2016,5,1,10,0.04,2.57,26.63,40.73,67.36,14.4,83.23,57.6,0,11.92,36.74,23.96,578.89,0.75,17.69,1.23,0.14,2016-05-01 10:00:00
11,2016,5,1,11,0.04,2.57,28.03,41.72,69.75,15.15,71.04,52.3,0,8.22,39.52,24.54,674.03,0.72,17.92,1.23,0.11,2016-05-01 11:00:00
12,2016,5,1,12,0.04,2.58,27.7,41.56,69.25,14.97,70.85,43.5,0,5.26,41.44,24.45,705.44,1.01,18.03,1.41,0.2,2016-05-01 12:00:00
13,2016,5,1,13,0.06,2.59,29.01,40.26,69.27,15.68,67.59,44.55,0,4.51,42.57,23.68,692.64,1.17,18.14,1.39,0.24,2016-05-01 13:00:00
14,2016,5,1,14,0.04,2.59,28.87,41.07,69.94,15.6,67,33.1,0,4.96,43.12,24.16,627.18,0.8,18.27,1.24,0.15,2016-05-01 14:00:00
15,2016,5,1,15,0.04,2.58,30.19,42.28,72.46,16.32,86.59,39.5,0,6.6,41.85,24.87,504.09,0.54,18.3,2.05,0.12,2016-05-01 15:00:00
16,2016,5,1,16,0.02,2.58,32.75,41.65,74.39,17.7,78.93,44.4,0,10.28,40.38,24.49,337.4,0.35,18.11,2.09,0.07,2016-05-01 16:00:00
17,2016,5,1,17,0.05,2.57,37.52,42.32,79.84,20.28,85.52,42.45,0,16.25,37.75,24.89,167.79,0.33,17.74,2.65,0.07,2016-05-01 17:00:00
18,2016,5,1,18,0.06,2.54,34.43,42.66,77.09,18.61,100.63,50.5,0,17.14,35.29,25.09,42.11,0.41,17.49,2.04,0.06,2016-05-01 18:00:00
19,2016,5,1,19,0.08,2.51,32.31,42.03,74.35,17.46,89.37,45.2,0,22.02,32.95,24.73,2.36,0.63,17.31,1.37,0.13,2016-05-01 19:00:00
20,2016,5,1,20,0.08,2.5,29.59,41.68,71.28,15.99,86.15,46.55,0,34.13,31.17,24.52,0.0,0.95,17.14,1.1,0.27,2016-05-01 20:00:00
21,2016,5,1,21,0.14,2.53,39.87,42.01,81.89,21.55,92.81,54.65,0,38.64,30.16,24.71,0.0,1.62,17.25,1.1,0.57,2016-05-01 21:00:00
22,2016,5,1,22,0.13,2.55,58.53,42.08,100.61,31.64,93.15,43.25,0,42.9,28.97,24.75,0.0,1.51,17.27,1.02,0.52,2016-05-01 22:00:00
23,2016,5,1,23,0.1,2.57,55.73,39.63,95.36,30.13,90.44,40.15,0,40.93,28.27,23.31,0.0,1.48,17.0,1.23,0.47,2016-05-01 23:00:00
24,2016,5,2,0,0.1,2.57,57.83,39.99,97.82,31.26,73.11,17.88,0,40.25,27.39,23.52,0.03,1.27,16.81,0.55,0.32,2016-05-02 00:00:00
25,2016,5,2,1,0.07,2.57,58.13,41.7,99.82,31.42,65.74,12.3,0,36.85,26.93,24.53,0.0,1.08,16.94,0.69,0.34,2016-05-02 01:00:00
