,Year,Month,Day,Hour,C6,CO,NO,NO2,NOX,O3,PM10,PM25,RF,RH,RT,SO2,SR,TOL,WD,WS,XYL,period
0,2016,11,1,0,0.45,4.02,17.29,31.38,48.68,9.35,294.72,362.21,0,70.83,22.78,4.95,0.0,3.38,17.01,0.32,1.91,2016-11-01 00:00:00
1,2016,11,1,1,0.63,3.99,17.88,32.06,49.94,9.66,241.11,282.32,0,73.2,22.22,5.13,0.0,4.3,17.1,0.28,1.91,2016-11-01 01:00:00
2,2016,11,1,2,0.58,4.09,17.5,31.62,49.12,9.46,241.27,271.15,0,73.47,21.73,5.01,0.0,4.35,17.21,0.3,2.2,2016-11-01 02:00:00
3,2016,11,1,3,0.28,4.11,17.72,31.87,49.59,9.58,188.8,211.17,0,72.79,21.26,5.08,0.0,2.81,17.04,0.28,1.51,2016-11-01 03:00:00
4,2016,11,1,4,0.22,4.09,18.17,32.4,50.58,9.83,146.21,182.2,0,74.3,20.45,5.21,0.0,2.24,17.12,0.28,1.06,2016-11-01 04:00:00
5,2016,11,1,5,0.22,4.07,18.35,32.61,50.96,9.92,129.27,151.65,0,76.34,19.94,5.27,0.0,1.98,17.59,0.28,0.8,2016-11-01 05:00:00
6,2016,11,1,6,0.19,4.03,18.78,33.11,51.89,10.16,123.82,147,0,77.29,19.25,5.38,2.27,1.54,17.77,0.28,0.53,2016-11-01 06:00:00
7,2016,11,1,7,0.2,3.97,20.18,34.72,54.9,10.91,128.09,152.98,0,77.46,19.94,5.78,54.77,1.54,17.83,0.28,0.54,2016-11-01 07:00:00
8,2016,11,1,8,0.42,3.9,27.23,42.88,70.11,14.72,147.44,159.98,0,69.23,24.14,7.8,186.29,1.8,17.13,0.3,0.59,2016-11-01 08:00:00
9,2016,11,1,9,0.39,3.87,51.46,70.91,122.37,27.82,179.43,190.91,0,40.67,28.7,14.72,358.3,1.79,17.38,1.07,0.62,2016-11-01 09:00:00
