,Year,Month,Day,Hour,C6,CO,NO,NO2,NOX,O3,PM10,PM25,RF,RH,RT,SO2,SR,TOL,WD,WS,XYL,period
0,2016,9,1,0,0.03,2.07,7.23,27.82,35.05,12.06,21.3,0,0.0,72.68,23.6,3.91,0.0,0.29,17.49,0.56,0.1,2016-09-01 00:00:00
1,2016,9,1,1,0.02,2.06,10.25,33.43,43.67,11.68,24.41,17.88,0.0,74.43,23.47,5.54,0.0,0.23,18.07,0.65,0.08,2016-09-01 01:00:00
2,2016,9,1,2,0.01,2.05,9.74,32.5,42.24,12.02,14.78,19.29,0.0,75.79,23.1,5.27,0.0,0.1,18.2,0.65,0.06,2016-09-01 02:00:00
3,2016,9,1,3,0.01,2.04,10.6,34.08,44.68,11.85,18.12,6.97,0.0,75.68,23.01,5.73,0.0,0.07,18.22,0.71,0.03,2016-09-01 03:00:00
4,2016,9,1,4,0.01,2.04,12.73,38.05,50.77,12.2,13.88,6.72,0.0,75.44,22.86,6.88,0.0,0.07,18.22,0.85,0.02,2016-09-01 04:00:00
5,2016,9,1,5,0.01,2.01,12.45,37.53,49.98,11.95,18.11,15.59,0.0,75.59,22.9,6.73,0.0,0.08,18.18,0.61,0.03,2016-09-01 05:00:00
6,2016,9,1,6,0.02,1.99,11.01,34.85,45.86,12.2,24.11,31.48,0.0,75.32,22.98,5.95,3.07,0.1,18.07,1.1,0.03,2016-09-01 06:00:00
7,2016,9,1,7,0.03,1.99,10.23,33.41,43.65,11.96,31.81,39.96,0.0,71.56,23.71,5.53,45.05,0.18,17.73,1.2,0.06,2016-09-01 07:00:00
8,2016,9,1,8,0.04,1.97,10.26,33.46,43.72,12.48,46.61,23.11,0.0,68.1,24.87,5.55,77.4,0.32,17.61,1.31,0.08,2016-09-01 08:00:00
9,2016,9,1,9,0.03,1.98,11.2,35.22,46.42,12.52,48.15,31.92,0.0,68.74,25.45,6.06,139.27,0.36,17.5,1.1,0.11,2016-09-01 09:00:00
10,2016,9,1,10,0.03,1.99,10.32,33.57,43.9,12.91,46.3,23.78,0.0,61.2,27.57,5.58,199.29,0.43,17.59,1.36,0.14,2016-09-01 10:00:00
11,2016,9,1,11,0.05,2.0,8.66,30.48,39.14,12.63,41.75,20.3,0.0,58.32,28.21,4.68,219.45,0.57,17.37,1.6,0.19,2016-09-01 11:00:00
12,2016,9,1,12,0.06,1.99,8.68,30.52,39.19,13.34,41.74,21.11,0.0,57.0,28.8,4.69,256.86,0.66,16.49,2.07,0.2,2016-09-01 12:00:00
13,2016,9,1,13,0.01,1.1,,,,11.64,0,22,0.0,58.03,28.75,372.47,286.04,0.11,16.69,2.3,0.04,2016-09-01 13:00:00
14,2016,9,1,14,0.03,1.73,57.17,120.68,177.86,12.61,"2,000.00","1,670.33",0.0,58.79,28.77,30.9,244.22,0.66,17.72,1.85,0.22,2016-09-01 14:00:00
15,2016,9,1,15,0.05,1.76,51.69,110.49,162.18,12.96,46,24,0.0,58.87,28.36,27.94,217.51,0.73,17.55,1.95,0.25,2016-09-01 15:00:00
16,2016,9,1,16,0.05,1.72,52.95,112.84,165.79,12.18,34.09,30.81,0.0,66.38,26.4,28.62,110.43,0.67,17.58,1.89,0.23,2016-09-01 16:00:00
