,Year,Month,Day,Hour,C6,CO,NO,NO2,NOX,O3,PM10,PM25,RF,RH,RT,SO2,SR,TOL,WD,WS,XYL,period
0,2016,7,1,0,0.04,2.21,25.48,233.0,258.48,13.77,27.08,6.93,0.0,74.9,23.3,240.84,0.05,0.82,18.59,0.9,0.35,2016-07-01 00:00:00
1,2016,7,1,1,0.04,2.22,25.2,244.52,269.72,13.62,31.93,6.29,0.0,76.33,23.51,252.36,0.05,0.77,18.51,1.26,0.33,2016-07-01 01:00:00
2,2016,7,1,2,0.03,2.22,25.13,244.82,269.95,13.58,12.26,5.15,0.0,75.43,23.78,252.66,0.07,0.66,18.25,1.54,0.28,2016-07-01 02:00:00
3,2016,7,1,3,0.03,2.23,25.17,240.74,265.9,13.6,16.93,3.29,0.0,75.25,23.87,248.58,0.06,0.53,18.29,1.16,0.23,2016-07-01 03:00:00
4,2016,7,1,4,0.03,2.22,25.32,240.52,265.84,13.68,12.07,14.97,0.0,75.31,23.99,248.36,0.06,0.45,18.35,1.32,0.21,2016-07-01 04:00:00
5,2016,7,1,5,0.03,2.21,25.45,243.68,269.13,13.76,9.04,14.84,0.0,74.88,24.05,251.52,0.08,0.38,18.29,0.96,0.19,2016-07-01 05:00:00
6,2016,7,1,6,0.02,2.2,24.67,240.56,265.22,13.33,20.84,0,0.0,73.02,24.22,248.4,5.19,0.33,18.34,1.24,0.16,2016-07-01 06:00:00
7,2016,7,1,7,0.02,2.18,20.35,234.0,254.35,11.0,29.88,1.71,0.0,72.48,24.87,241.84,52.25,0.26,18.13,1.05,0.12,2016-07-01 07:00:00
8,2016,7,1,8,0.04,2.16,19.76,232.8,252.56,10.68,68.51,37.89,0.0,68.69,26.17,240.64,100.4,0.54,17.97,1.41,0.18,2016-07-01 08:00:00
9,2016,7,1,9,0.04,2.15,20.77,234.13,254.91,11.23,64.06,46.56,0.0,67.05,26.44,241.97,135.37,0.6,18.01,1.84,0.23,2016-07-01 09:00:00
10,2016,7,1,10,0.07,2.16,23.19,231.14,254.33,12.54,59.06,32.58,0.0,63.75,27.67,238.98,165.34,1.05,17.82,1.87,0.39,2016-07-01 10:00:00
11,2016,7,1,11,0.06,2.17,24.31,236.69,260.99,13.14,71.84,45.38,0.0,66.65,27.52,244.53,363.84,1.01,18.03,1.92,0.41,2016-07-01 11:00:00
12,2016,7,1,12,0.05,2.2,26.25,147.78,174.04,14.19,68.05,36.03,0.0,52.39,31.7,176.51,501.33,1.14,18.19,2.38,0.44,2016-07-01 12:00:00
13,2016,7,1,13,0.07,2.2,27.47,29.23,56.69,14.85,88.73,21.18,0.0,59.41,29.65,36.28,366.29,1.12,17.66,2.1,0.39,2016-07-01 13:00:00
14,2016,7,1,14,0.05,2.22,25.08,27.93,53.01,13.55,59.38,23.27,0.0,58.91,29.66,27.91,247.25,0.91,17.92,2.02,0.37,2016-07-01 14:00:00
15,2016,7,1,15,0.03,2.23,26.01,28.44,54.45,14.06,42.22,16.31,0.0,62.54,29.08,25.49,334.27,0.61,17.59,2.03,0.25,2016-07-01 15:00:00
16,2016,7,1,16,0.03,2.22,26.5,28.7,55.2,14.32,22.25,12.44,0.0,71.98,26.11,24.46,118.3,0.75,17.86,1.56,0.28,2016-07-01 16:00:00
17,2016,7,1,17,0.04,2.22,27.21,29.09,56.3,14.71,29.9,7.73,0.0,75.82,25.43,22.12,67.14,0.83,18.08,1.22,0.33,2016-07-01 17:00:00
18,2016,7,1,18,0.08,2.22,26.61,28.76,55.37,14.38,18.15,2.73,0.12,77.43,24.91,15.19,39.45,1.28,17.67,1.25,0.54,2016-07-01 18:00:00
19,2016,7,1,19,0.1,2.2,24.23,27.48,51.72,13.1,16.03,1.75,0.0,78.71,24.14,12.8,1.46,1.52,17.16,0.86,0.72,2016-07-01 19:00:00
20,2016,7,1,20,0.12,2.18,22.92,26.77,49.68,12.39,13.04,2.56,0.0,79.51,23.95,10.56,0.09,1.75,17.5,1.24,0.87,2016-07-01 20:00:00
21,2016,7,1,21,0.08,2.24,27.87,29.44,57.32,15.06,21.89,7.27,0.0,79.47,23.73,7.31,0.08,1.37,17.65,1.32,0.63,2016-07-01 21:00:00
22,2016,7,1,22,0.1,2.26,28.92,30.02,58.94,15.64,21.01,5.44,0.0,78.57,23.66,8.87,0.09,1.23,17.95,0.9,0.52,2016-07-01 22:00:00
23,2016,7,1,23,0.06,2.24,27.86,29.44,57.3,15.06,32.85,4.36,0.0,77.83,23.82,13.73,0.1,1.05,18.5,0.94,0.45,2016-07-01 23:00:00
24,2016,7,2,0,0.07,2.24,28.19,29.62,57.8,15.24,29.05,4.24,0.0,78.08,23.91,9.15,0.08,0.91,18.18,0.92,0.39,2016-07-02 00:00:00
25,2016,7,2,1,0.04,2.26,28.51,29.79,58.3,15.41,18.14,10.13,0.0,79.58,23.78,7.68,0.11,0.8,18.25,1.12,0.35,2016-07-02 01:00:00
26,2016,7,2,2,0.04,2.26,28.55,29.81,58.36,15.43,10.1,10.15,0.0,80.44,23.8,7.38,0.1,0.72,16.98,0.48,0.3,2016-07-02 02:00:00
27,2016,7,2,3,0.02,2.25,27.74,29.37,57.11,14.99,10,4.87,0.0,80.92,23.71,6.51,0.14,0.54,18.13,0.45,0.25,2016-07-02 03:00:00
28,2016,7,2,4,0.03,2.24,27.97,29.5,57.46,15.12,7.04,2.29,0.19,81.53,23.71,6.81,0.14,0.54,16.68,0.47,0.25,2016-07-02 04:00:00
29,2016,7,2,5,0.03,2.25,27.71,29.36,57.07,14.98,6.01,1.74,0.31,82.19,23.54,7.6,0.11,0.53,17.79,0.43,0.22,2016-07-02 05:00:00
30,2016,7,2,6,0.03,2.23,27.74,29.37,57.12,14.99,3.04,0,0.0,82.55,23.43,8.43,6.95,0.5,17.68,0.67,0.21,2016-07-02 06:00:00
